Date,Country,TEKs,Cases
2020-10-15,at,1162,1346
2020-10-15,cz,7536,9543
2020-10-15,de,306,7173
2020-10-15,ee,14,39
2020-10-15,es,745,11970
2020-10-15,fi,407,204
2020-10-15,hu,2,920
2020-10-15,ie,11217,1084
2020-10-15,it,7986,7332
2020-10-15,lv,10,102
2020-10-15,nl,181,7349
2020-10-15,pl,1687,6526
2020-10-15,si,3150,707
2020-10-16,at,1437,1552
2020-10-16,cz,8943,9720
2020-10-16,de,297,7620
2020-10-16,ee,16,33
2020-10-16,es,7673,13318
2020-10-16,fi,381,241
2020-10-16,hu,2,950
2020-10-16,ie,13025,1186
2020-10-16,it,9792,8803
2020-10-16,nl,229,7857
2020-10-16,pl,1716,8099
2020-10-16,si,3309,745
2020-10-17,at,1691,1163
2020-10-17,cz,9379,11102
2020-10-17,de,298,7695
2020-10-17,ee,21,37
2020-10-17,es,9545,15186
2020-10-17,fi,356,189
2020-10-17,hu,2,1293
2020-10-17,ie,14716,998
2020-10-17,it,11583,10009
2020-10-17,nl,316,8022
2020-10-17,pl,1732,7705
2020-10-17,si,3634,834
2020-10-18,at,1974,1747
2020-10-18,cz,9317,8715
2020-10-18,de,362,4862
2020-10-18,ee,19,35
2020-10-18,es,10868,0
2020-10-18,fi,367,160
2020-10-18,hu,2,1791
2020-10-18,ie,16007,1251
2020-10-18,it,12961,10925
2020-10-18,nl,455,8149
2020-10-18,pl,1726,9622
2020-10-18,si,4015,899
2020-10-19,at,2072,1672
2020-10-19,cz,9297,5058
2020-10-19,de,204,4007
2020-10-19,ee,20,26
2020-10-19,es,12019,0
2020-10-19,fi,355,131
2020-10-19,hu,2,1474
2020-10-19,ie,17346,1284
2020-10-19,it,14251,11705
2020-10-19,nl,648,8233
2020-10-19,pl,1631,8536
2020-10-19,si,4379,726
2020-10-20,at,2142,1121
2020-10-20,cz,9979,8077
2020-10-20,de,1210,8397
2020-10-20,ee,24,7
2020-10-20,es,13570,37889
2020-10-20,fi,339,131
2020-10-20,hu,3,1478
2020-10-20,ie,18292,1031
2020-10-20,it,15308,9337
2020-10-20,lv,512,44
2020-10-20,nl,811,8014
2020-10-20,pl,1520,7482
2020-10-20,si,4843,537
2020-10-21,at,1716,1524
2020-10-21,cz,9438,11984
2020-10-21,de,2802,8523
2020-10-21,ee,24,42
2020-10-21,es,15538,13873
2020-10-21,fi,327,294
2020-10-21,hu,3,989
2020-10-21,ie,18949,1263
2020-10-21,it,16330,10871
2020-10-21,lv,1267,115
2020-10-21,nl,1113,8194
2020-10-21,pl,1421,9291
2020-10-21,pt,396,1876
2020-10-21,si,5279,794
2020-10-22,at,1955,1958
2020-10-22,cz,9319,14969
2020-10-22,de,4145,12331
2020-10-22,ee,20,44
2020-10-22,es,18060,16973
2020-10-22,fi,298,222
2020-10-22,hu,2,1423
2020-10-22,ie,19900,1166
2020-10-22,it,18834,15199
2020-10-22,lv,2802,188
2020-10-22,nl,1484,8796
2020-10-22,pl,1357,10040
2020-10-22,pt,393,2535
2020-10-22,si,5620,1509
2020-10-23,at,1869,2435
2020-10-23,cz,8325,14150
2020-10-23,de,6077,5952
2020-10-23,ee,20,76
2020-10-23,es,20551,20986
2020-10-23,fi,309,184
2020-10-23,hu,2,2032
